               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03765,            0.013249,           0.0096474,             0.88538,             0.81146,             0.88276,             0.52746,             0.02386,           0.0068411,           0.0026078,            0.006535,            0.006535,            0.006535
                  37,            0.032615,            0.012595,           0.0096978,             0.82682,             0.79756,             0.83004,             0.48306,            0.025632,           0.0074619,           0.0028186,            0.006436,            0.006436,            0.006436
                  38,            0.033518,            0.012769,           0.0076708,             0.87592,             0.79874,              0.8987,             0.48584,            0.025246,           0.0070326,           0.0024104,            0.006337,            0.006337,            0.006337
                  39,            0.036706,            0.013275,            0.011699,             0.91629,             0.83853,             0.90459,             0.54624,            0.023277,           0.0070761,           0.0023134,            0.006238,            0.006238,            0.006238
                  40,             0.03673,            0.013286,            0.010017,             0.83563,             0.81779,             0.87458,             0.54671,            0.021721,           0.0072483,           0.0027318,            0.006139,            0.006139,            0.006139
                  41,            0.034226,            0.012996,            0.013039,             0.80304,             0.82451,             0.86186,              0.5056,            0.023249,           0.0077319,           0.0021037,             0.00604,             0.00604,             0.00604
                  42,            0.040618,             0.01307,             0.01028,             0.84846,             0.85664,             0.89274,             0.55016,            0.022037,           0.0070352,           0.0023352,            0.005941,            0.005941,            0.005941
                  43,            0.038366,            0.012599,            0.012164,              0.8734,             0.86414,             0.93108,             0.55146,            0.021806,           0.0066436,           0.0023927,            0.005842,            0.005842,            0.005842
                  44,            0.039329,             0.01391,            0.010362,             0.88946,             0.85063,             0.90642,              0.5267,            0.022881,            0.006583,           0.0018989,            0.005743,            0.005743,            0.005743
                  45,            0.033096,             0.01203,           0.0081265,             0.87189,             0.83797,             0.90441,             0.52963,            0.021863,           0.0064265,           0.0026731,            0.005644,            0.005644,            0.005644
                  46,            0.038773,            0.013179,           0.0090995,             0.91637,             0.88602,             0.92792,             0.56258,            0.019441,           0.0066811,           0.0025766,            0.005545,            0.005545,            0.005545
                  47,            0.035987,            0.011898,           0.0079762,             0.85144,             0.85981,             0.90059,             0.59459,            0.019301,           0.0061868,           0.0033546,            0.005446,            0.005446,            0.005446
                  48,            0.033059,             0.01247,            0.009834,             0.89552,             0.85795,             0.91241,              0.5852,            0.018272,           0.0058545,           0.0039389,            0.005347,            0.005347,            0.005347
                  49,            0.033151,            0.012376,            0.008774,             0.89804,             0.82693,             0.90308,             0.61979,            0.018336,           0.0064784,           0.0048575,            0.005248,            0.005248,            0.005248
                  50,            0.041719,            0.012428,            0.012341,             0.85814,             0.85879,             0.90609,             0.59022,            0.017867,           0.0073459,           0.0044714,            0.005149,            0.005149,            0.005149
                  51,            0.031491,            0.013643,           0.0067985,             0.86618,             0.80793,             0.91061,             0.57273,            0.018718,           0.0068378,           0.0041711,             0.00505,             0.00505,             0.00505
                  52,            0.032406,            0.011934,           0.0097518,             0.91441,             0.79752,             0.92116,             0.56156,            0.017606,           0.0063022,           0.0034292,            0.004951,            0.004951,            0.004951
                  53,            0.032273,            0.011928,           0.0077531,             0.88746,             0.77642,             0.89296,              0.5657,            0.018786,           0.0061967,           0.0034239,            0.004852,            0.004852,            0.004852
                  54,            0.030278,            0.012151,           0.0098879,              0.9108,             0.86052,             0.92345,             0.60956,            0.018236,            0.005798,           0.0037363,            0.004753,            0.004753,            0.004753
                  55,            0.031002,            0.012465,           0.0079791,             0.91567,             0.85718,             0.92237,             0.60666,            0.017762,           0.0058333,           0.0052665,            0.004654,            0.004654,            0.004654
                  56,            0.031345,            0.011909,           0.0085032,             0.88191,             0.85748,             0.91603,             0.59756,            0.017727,           0.0059558,           0.0063065,            0.004555,            0.004555,            0.004555
                  57,            0.029029,            0.011842,           0.0063798,             0.86397,              0.9108,             0.94461,             0.61279,            0.017077,           0.0064527,           0.0046373,            0.004456,            0.004456,            0.004456
                  58,            0.030345,            0.011682,            0.011172,             0.95571,              0.8216,             0.95043,             0.64932,            0.016456,           0.0058845,           0.0058549,            0.004357,            0.004357,            0.004357
                  59,             0.02851,            0.012211,            0.006778,             0.89669,             0.89502,             0.94216,             0.64445,            0.016318,           0.0059332,           0.0046228,            0.004258,            0.004258,            0.004258
                  60,            0.030455,            0.011901,           0.0092825,             0.91263,             0.88788,             0.93594,             0.63968,            0.016331,           0.0059643,           0.0037735,            0.004159,            0.004159,            0.004159
                  61,            0.034996,            0.012551,            0.012823,             0.89202,             0.84932,             0.91652,             0.59492,            0.017459,           0.0062107,           0.0035222,             0.00406,             0.00406,             0.00406
                  62,            0.029955,            0.012374,           0.0087117,             0.84826,             0.84871,              0.9064,             0.59716,            0.017396,           0.0062488,           0.0050127,            0.003961,            0.003961,            0.003961
                  63,            0.035681,            0.012164,           0.0090691,              0.8745,             0.89585,             0.92613,             0.63307,            0.016266,           0.0058744,           0.0049894,            0.003862,            0.003862,            0.003862
                  64,            0.033314,            0.013013,             0.00847,             0.88965,             0.85327,             0.93623,              0.6436,             0.01616,            0.005731,           0.0044659,            0.003763,            0.003763,            0.003763
                  65,            0.028398,            0.012012,           0.0087991,             0.89562,             0.84902,             0.93644,             0.63391,            0.016507,           0.0056467,           0.0034959,            0.003664,            0.003664,            0.003664
                  66,            0.027434,            0.012333,            0.011953,              0.9356,             0.83677,             0.92913,             0.61642,            0.017074,           0.0060464,           0.0031023,            0.003565,            0.003565,            0.003565
                  67,            0.025478,            0.011317,           0.0060438,             0.95277,             0.88859,             0.95164,             0.63728,              0.0164,            0.006108,           0.0028606,            0.003466,            0.003466,            0.003466
                  68,            0.032974,            0.011989,             0.01002,             0.93525,             0.89213,              0.9429,             0.64391,            0.016811,           0.0063121,            0.002918,            0.003367,            0.003367,            0.003367
                  69,            0.031092,            0.012354,           0.0081086,             0.94637,             0.88972,              0.9429,              0.6295,            0.015898,           0.0065963,           0.0023223,            0.003268,            0.003268,            0.003268
                  70,            0.026978,            0.011858,             0.00851,             0.92836,             0.90931,             0.95029,             0.64358,            0.015976,            0.006507,           0.0030443,            0.003169,            0.003169,            0.003169
                  71,            0.031097,            0.011142,           0.0058804,             0.91172,             0.91792,              0.9548,             0.64788,            0.015532,           0.0061953,           0.0035845,             0.00307,             0.00307,             0.00307
                  72,            0.029601,            0.011217,           0.0066261,             0.91991,             0.91495,             0.95991,             0.63618,            0.015131,           0.0062387,           0.0036362,            0.002971,            0.002971,            0.002971
                  73,            0.024406,            0.011548,            0.006247,             0.92055,             0.87972,             0.95018,             0.61739,             0.01628,           0.0062039,           0.0036552,            0.002872,            0.002872,            0.002872
                  74,            0.027786,            0.011376,           0.0049231,             0.90617,             0.86656,             0.93894,             0.61556,            0.016985,           0.0060125,            0.003553,            0.002773,            0.002773,            0.002773
                  75,            0.029578,            0.010906,           0.0045574,             0.89395,             0.88121,             0.95013,             0.63287,            0.016628,           0.0058886,            0.003741,            0.002674,            0.002674,            0.002674
                  76,            0.025138,             0.01105,           0.0092552,             0.92332,             0.86683,             0.95163,              0.6528,              0.0156,            0.005819,            0.003893,            0.002575,            0.002575,            0.002575
                  77,            0.027524,            0.011097,           0.0057176,             0.93194,             0.86701,             0.95619,             0.66198,             0.01596,           0.0059399,           0.0034811,            0.002476,            0.002476,            0.002476
                  78,            0.028104,            0.010603,           0.0064157,             0.91121,             0.84311,             0.94172,             0.64395,             0.01644,           0.0058353,           0.0024629,            0.002377,            0.002377,            0.002377
                  79,             0.02783,            0.010829,           0.0045879,             0.87616,             0.90763,             0.94709,             0.67701,            0.015461,           0.0059513,           0.0020872,            0.002278,            0.002278,            0.002278
                  80,            0.025307,            0.011589,           0.0076111,             0.91719,             0.90592,             0.95994,             0.69009,            0.015236,           0.0058468,           0.0025678,            0.002179,            0.002179,            0.002179
                  81,            0.026638,            0.010274,           0.0068948,             0.92061,               0.899,             0.95912,             0.68773,            0.014412,           0.0058469,            0.003351,             0.00208,             0.00208,             0.00208
                  82,            0.024646,            0.010498,           0.0057989,             0.90869,             0.89923,             0.95513,             0.68551,            0.015334,           0.0057704,           0.0039671,            0.001981,            0.001981,            0.001981
                  83,            0.025527,           0.0099455,           0.0053719,             0.90017,             0.87849,             0.95122,             0.68652,            0.015514,           0.0057101,           0.0043232,            0.001882,            0.001882,            0.001882
                  84,            0.026652,            0.011592,           0.0065576,             0.84176,             0.93342,             0.95706,             0.68523,            0.014693,           0.0055826,            0.004001,            0.001783,            0.001783,            0.001783
                  85,            0.024671,            0.010364,           0.0040529,             0.90139,             0.89754,             0.95458,             0.69082,            0.014536,            0.005434,            0.003604,            0.001684,            0.001684,            0.001684
                  86,            0.025283,            0.010955,           0.0064391,             0.92462,             0.90958,             0.95927,             0.69457,            0.014387,            0.005341,           0.0031476,            0.001585,            0.001585,            0.001585
                  87,            0.024869,             0.01106,           0.0056226,             0.92993,             0.92749,             0.96493,             0.70706,             0.01413,           0.0054236,           0.0028891,            0.001486,            0.001486,            0.001486
                  88,            0.026468,            0.011067,           0.0098769,             0.92262,             0.91716,             0.96513,             0.70932,            0.014088,           0.0054695,           0.0028051,            0.001387,            0.001387,            0.001387
                  89,            0.025345,            0.010197,            0.006079,             0.93787,             0.92636,             0.96742,             0.70124,            0.014014,           0.0055046,             0.00276,            0.001288,            0.001288,            0.001288
                  90,            0.023938,            0.010546,           0.0049424,             0.94288,             0.92039,             0.96517,             0.69908,            0.014388,           0.0054306,           0.0028843,            0.001189,            0.001189,            0.001189
                  91,            0.026674,             0.01085,           0.0057457,             0.93002,             0.92341,             0.96423,             0.70696,            0.014101,           0.0055307,           0.0029365,             0.00109,             0.00109,             0.00109
                  92,            0.027876,           0.0094559,           0.0049097,             0.93234,             0.92243,             0.96562,             0.69992,            0.013995,           0.0055455,            0.002915,            0.000991,            0.000991,            0.000991
                  93,             0.02565,            0.010575,           0.0052816,              0.9319,             0.91273,             0.96547,              0.7106,            0.013886,            0.005528,           0.0028288,            0.000892,            0.000892,            0.000892
                  94,             0.02127,           0.0099279,           0.0066276,             0.93748,             0.92282,             0.96654,             0.70559,            0.014011,           0.0055441,           0.0027787,            0.000793,            0.000793,            0.000793
                  95,             0.02736,             0.01027,           0.0063581,             0.92946,             0.91357,             0.96551,             0.71283,            0.013813,           0.0055297,           0.0027947,            0.000694,            0.000694,            0.000694
                  96,            0.023823,            0.010757,           0.0037842,             0.93035,             0.91388,              0.9651,             0.71373,            0.013832,           0.0054631,           0.0028466,            0.000595,            0.000595,            0.000595
                  97,            0.022866,             0.01012,           0.0065005,             0.93088,             0.91351,             0.96507,             0.70735,            0.013949,           0.0054304,           0.0028173,            0.000496,            0.000496,            0.000496
                  98,            0.025772,            0.010452,           0.0054401,             0.93113,             0.91467,             0.96535,             0.69898,            0.014036,           0.0053798,           0.0028842,            0.000397,            0.000397,            0.000397
                  99,            0.020472,            0.010677,           0.0033801,             0.93626,             0.91535,             0.96521,             0.70363,            0.014051,           0.0053462,           0.0028861,            0.000298,            0.000298,            0.000298
